Timestamp,solar_cf_perkw,da_prices,rt_prices
1/1/2019 0:00,0,25.57,7.14
1/1/2019 1:00,0,22.2,13.11
1/1/2019 2:00,0,18.5,22.2
1/1/2019 3:00,0,18.32,27.95
1/1/2019 4:00,0,18.56,3.48
1/1/2019 5:00,0,18.7,17.9
1/1/2019 6:00,0,21.14,13.23
1/1/2019 7:00,0.0465,21.2,12.92
1/1/2019 8:00,0.2325,23.19,2.26
1/1/2019 9:00,0.3999,24.99,1.56
1/1/2019 10:00,0.5115,26.48,18.15
1/1/2019 11:00,0.558,26.49,19.28
1/1/2019 12:00,0.5115,25.83,14.13
1/1/2019 13:00,0.465,25.54,2.83
1/1/2019 14:00,0.3627,27.38,1.24
1/1/2019 15:00,0.2232,27.83,4.3
1/1/2019 16:00,0.0651,31.34,4.65
1/1/2019 17:00,0,36.29,20.51
1/1/2019 18:00,0,33.93,31.84
1/1/2019 19:00,0,33.6,18.55
1/1/2019 20:00,0,32.41,27.06
1/1/2019 21:00,0,29.38,30.54
1/1/2019 22:00,0,27.11,27.15
1/1/2019 23:00,0,25.03,14.27
1/2/2019 0:00,0,22.53,9.49
1/2/2019 1:00,0,21.27,22.91
1/2/2019 2:00,0,26.11,5.24
1/2/2019 3:00,0,35.07,6.75
1/2/2019 4:00,0,34.99,5.93
1/2/2019 5:00,0,32.93,23.47
1/2/2019 6:00,0,30.8,6.67
1/2/2019 7:00,0.0465,32.31,27.09
1/2/2019 8:00,0.2511,51.31,29.72
1/2/2019 9:00,0.4464,42.45,28.45
1/2/2019 10:00,0.5673,33.52,27.93
1/2/2019 11:00,0.6324,28,15.21
1/2/2019 12:00,0.6324,24.11,27.79
1/2/2019 13:00,0.5766,22.14,22.51
1/2/2019 14:00,0.4557,25.33,28.15
1/2/2019 15:00,0.2976,34.32,29.85
1/2/2019 16:00,0.093,34.66,29.48
1/2/2019 17:00,0,32.86,63.46
1/2/2019 18:00,0,30.04,44.89
1/2/2019 19:00,0,30.33,32.37
1/2/2019 20:00,0,48.61,26.51
1/2/2019 21:00,0,41.84,29.25
1/2/2019 22:00,0,33.53,32.95
1/2/2019 23:00,0,26.8,23.2
1/3/2019 0:00,0,22.31,26.71
1/3/2019 1:00,0,21.24,21.06
1/3/2019 2:00,0,23.9,21.17
1/3/2019 3:00,0,29.18,21.17
1/3/2019 4:00,0,29.55,19.18
1/3/2019 5:00,0,27.41,22.43
1/3/2019 6:00,0,24.64,24.5
1/3/2019 7:00,0.0372,24.22,8.9
1/3/2019 8:00,0.2325,38.95,-22.74
1/3/2019 9:00,0.4185,32.93,30.42
1/3/2019 10:00,0.5115,27.84,6.79
1/3/2019 11:00,0.5766,23.49,27.14
1/3/2019 12:00,0.5952,19.72,26.49
1/3/2019 13:00,0.5394,17.21,24.73
1/3/2019 14:00,0.4371,18.95,24.13
1/3/2019 15:00,0.2976,21.11,1.75
1/3/2019 16:00,0.093,25.2,0.99
1/3/2019 17:00,0,25.64,29.82
1/3/2019 18:00,0,24.23,27.75
1/3/2019 19:00,0,23.49,26.63
1/3/2019 20:00,0,30.28,24.27
1/3/2019 21:00,0,28.76,26.13
1/3/2019 22:00,0,25.43,23.11
1/3/2019 23:00,0,21.79,21.84
1/4/2019 0:00,0,23.43,21.1
1/4/2019 1:00,0,20.96,21.37
1/4/2019 2:00,0,19.64,21.93
1/4/2019 3:00,0,19.41,26.64
1/4/2019 4:00,0,18.72,26.88
1/4/2019 5:00,0,17.79,22.45
1/4/2019 6:00,0,18.78,25.18
1/4/2019 7:00,0.0279,20.85,25.45
1/4/2019 8:00,0.186,22.65,27.91
1/4/2019 9:00,0.3441,25.17,26.3
1/4/2019 10:00,0.4836,24.37,22.11
1/4/2019 11:00,0.5394,24.29,21.6
1/4/2019 12:00,0.5394,22.69,21.59
1/4/2019 13:00,0.4836,21.91,20.68
1/4/2019 14:00,0.3906,21.58,20.93
1/4/2019 15:00,0.2697,21.73,24.52
1/4/2019 16:00,0.0837,28.32,28.4
1/4/2019 17:00,0,33.38,24.65
1/4/2019 18:00,0,35.2,24.1
1/4/2019 19:00,0,33.95,21.34
1/4/2019 20:00,0,30.22,22.84
1/4/2019 21:00,0,29.18,24.57
1/4/2019 22:00,0,25.81,22.19
1/4/2019 23:00,0,23.73,22.14
1/5/2019 0:00,0,24.24,19.16
1/5/2019 1:00,0,23.13,28.38
1/5/2019 2:00,0,26.88,22.05
1/5/2019 3:00,0,35.33,21.52
1/5/2019 4:00,0,36.28,21.76
1/5/2019 5:00,0,32.5,13.93
1/5/2019 6:00,0,30.91,28.8
1/5/2019 7:00,0.0465,30.4,20.22
1/5/2019 8:00,0.2418,46.7,21.59
1/5/2019 9:00,0.4371,40.63,22.1
1/5/2019 10:00,0.5673,30.46,19.95
1/5/2019 11:00,0.6231,25.45,25.75
1/5/2019 12:00,0.6324,26.03,26.56
1/5/2019 13:00,0.5952,23.74,24.89
1/5/2019 14:00,0.4836,23.07,25.39
1/5/2019 15:00,0.3162,22.87,24.98
1/5/2019 16:00,0.1023,23.43,21.99
1/5/2019 17:00,0,25.17,23.08
1/5/2019 18:00,0,30.56,25.26
1/5/2019 19:00,0,31.48,21.54
1/5/2019 20:00,0,29.82,19.41
1/5/2019 21:00,0,29.6,22.75
1/5/2019 22:00,0,29.96,24.26
1/5/2019 23:00,0,29.36,21.05
1/6/2019 0:00,0,28.78,21.78
1/6/2019 1:00,0,28.56,22.11
1/6/2019 2:00,0,28.31,24.54
1/6/2019 3:00,0,28.16,21.31
1/6/2019 4:00,0,34.81,9.5
1/6/2019 5:00,0,39.62,20.45
1/6/2019 6:00,0,36.25,21.66
1/6/2019 7:00,0.0465,33.89,9.78
1/6/2019 8:00,0.2418,28.77,20.62
1/6/2019 9:00,0.4185,27.83,147.57
1/6/2019 10:00,0.5487,24.95,28.54
1/6/2019 11:00,0.6045,22.97,28.61
1/6/2019 12:00,0.6045,20.92,27.78
1/6/2019 13:00,0.5487,19.7,26.3
1/6/2019 14:00,0.4278,18.51,12.05
1/6/2019 15:00,0.2697,18.46,22.23
1/6/2019 16:00,0.093,18.71,19.51
1/6/2019 17:00,0,20.8,16
1/6/2019 18:00,0,26.05,16.98
1/6/2019 19:00,0,28.56,20.9
1/6/2019 20:00,0,28.01,24.7
1/6/2019 21:00,0,27.42,30.83
1/6/2019 22:00,0,27.47,29.12
1/6/2019 23:00,0,28.06,30.42
1/7/2019 0:00,0,26.9,26.91
1/7/2019 1:00,0,26.96,27.54
1/7/2019 2:00,0,26.85,29.65
1/7/2019 3:00,0,26.19,30.76
1/7/2019 4:00,0,34.4,29.31
1/7/2019 5:00,0,38.49,30.69
1/7/2019 6:00,0,35.85,35
1/7/2019 7:00,0.0372,34.28,30.88
1/7/2019 8:00,0.2418,31.24,33.66
1/7/2019 9:00,0.4185,26.57,29.66
1/7/2019 10:00,0.5487,24.2,29.72
1/7/2019 11:00,0.6138,22.51,33.12
1/7/2019 12:00,0.6231,27.25,28.91
1/7/2019 13:00,0.5859,23.89,27.16
1/7/2019 14:00,0.4836,22,25.26
1/7/2019 15:00,0.3162,21.51,24.29
1/7/2019 16:00,0.1116,22.7,23.82
1/7/2019 17:00,0,27.27,27.16
1/7/2019 18:00,0,31.35,18.01
1/7/2019 19:00,0,36.32,21.89
1/7/2019 20:00,0,36.87,17.39
1/7/2019 21:00,0,34.95,24.79
1/7/2019 22:00,0,36.64,28.75
1/7/2019 23:00,0,34.78,160.15
1/8/2019 0:00,0,33.62,33.15
1/8/2019 1:00,0,34.02,26.26
1/8/2019 2:00,0,33.58,27.48
1/8/2019 3:00,0,33.89,29.13
1/8/2019 4:00,0,43.37,29.45
1/8/2019 5:00,0,51.86,30.76
1/8/2019 6:00,0,50.04,29.24
1/8/2019 7:00,0.0279,47.72,22.25
1/8/2019 8:00,0.2046,43.87,62.02
1/8/2019 9:00,0.372,38.65,31.09
1/8/2019 10:00,0.4836,32.69,25.96
1/8/2019 11:00,0.5394,31.43,22.51
1/8/2019 12:00,0.5208,40.22,30.03
1/8/2019 13:00,0.4557,36.82,24.36
1/8/2019 14:00,0.3534,36.82,26.13
1/8/2019 15:00,0.2232,32.08,18.12
1/8/2019 16:00,0.0744,32.06,24.27
1/8/2019 17:00,0,32.06,24.55
1/8/2019 18:00,0,33.81,21.28
1/8/2019 19:00,0,40.49,24.39
1/8/2019 20:00,0,40.49,23.92
1/8/2019 21:00,0,53.45,22.06
1/8/2019 22:00,0,58.27,35.63
1/8/2019 23:00,0,58.27,24.44
1/9/2019 0:00,0,57.3,24.54
1/9/2019 1:00,0,54.94,24.19
1/9/2019 2:00,0,54.94,24.13
1/9/2019 3:00,0,54.92,24.31
1/9/2019 4:00,0,53.17,25.6
1/9/2019 5:00,0,53.17,24.89
1/9/2019 6:00,0,52.09,25.36
1/9/2019 7:00,0.0372,49.9,21.45
1/9/2019 8:00,0.2139,49.9,40.82
1/9/2019 9:00,0.3813,50.23,43.02
1/9/2019 10:00,0.4929,51.81,32.58
1/9/2019 11:00,0.5301,51.81,33.01
1/9/2019 12:00,0.4929,60.59,27.86
1/9/2019 13:00,0.4278,75.62,27.22
1/9/2019 14:00,0.3534,75.62,24.56
1/9/2019 15:00,0.2325,72.3,28.69
1/9/2019 16:00,0.0837,65.36,34.32
1/9/2019 17:00,0,65.36,33.83
1/9/2019 18:00,0,61.14,23.04
1/9/2019 19:00,0,56.38,25.76
1/9/2019 20:00,0,56.38,20.87
1/9/2019 21:00,0,54.51,29.78
1/9/2019 22:00,0,47.57,28.42
1/9/2019 23:00,0,47.57,30.25
1/10/2019 0:00,0,43.97,44.22
1/10/2019 1:00,0,38.81,37.66
1/10/2019 2:00,0,37.83,44.77
1/10/2019 3:00,0,36.3,42.32
1/10/2019 4:00,0,36.69,37.55
1/10/2019 5:00,0,40.44,42.42
1/10/2019 6:00,0,39.15,42.65
1/10/2019 7:00,0.0465,40.57,38.81
1/10/2019 8:00,0.2418,43.25,63.71
1/10/2019 9:00,0.4278,43.79,38.7
1/10/2019 10:00,0.558,43.8,68.71
1/10/2019 11:00,0.6231,42.11,36.2
1/10/2019 12:00,0.5952,40.3,32.25
1/10/2019 13:00,0.5301,40.66,37.96
1/10/2019 14:00,0.4557,39.53,34.29
1/10/2019 15:00,0.3069,40.38,41.44
1/10/2019 16:00,0.1116,42.8,42.59
1/10/2019 17:00,0,49.28,42.3
1/10/2019 18:00,0,47.2,42.34
1/10/2019 19:00,0,45.74,42.36
1/10/2019 20:00,0,43.68,42.3
1/10/2019 21:00,0,41.84,44.54
1/10/2019 22:00,0,40.37,93.88
1/10/2019 23:00,0,38.86,57.55
1/11/2019 0:00,0,36.27,55.14
1/11/2019 1:00,0,34.14,47.28
1/11/2019 2:00,0,31.48,42.81
1/11/2019 3:00,0,31.37,42.7
1/11/2019 4:00,0,31.46,34.03
1/11/2019 5:00,0,29.91,42.6
1/11/2019 6:00,0,30.17,42.71
1/11/2019 7:00,0.0465,32.05,43.72
1/11/2019 8:00,0.2325,35.13,42.85
1/11/2019 9:00,0.4278,36.94,48.09
1/11/2019 10:00,0.558,35.42,43.51
1/11/2019 11:00,0.6138,35.16,46.26
1/11/2019 12:00,0.5952,34.64,36.92
1/11/2019 13:00,0.5301,33.98,44.9
1/11/2019 14:00,0.4278,32.29,45.08
1/11/2019 15:00,0.2883,33.24,35.93
1/11/2019 16:00,0.1023,36.86,44.12
1/11/2019 17:00,0,46.55,41.94
1/11/2019 18:00,0,44.32,37.34
1/11/2019 19:00,0,41.11,32.49
1/11/2019 20:00,0,38.43,35.58
1/11/2019 21:00,0,37.49,30.48
1/11/2019 22:00,0,36.21,42.55
1/11/2019 23:00,0,34.94,36.75
1/12/2019 0:00,0,31.21,40.88
1/12/2019 1:00,0,26.67,88.6
1/12/2019 2:00,0,35.23,27.93
1/12/2019 3:00,0,52.15,42.11
1/12/2019 4:00,0,44.63,31.69
1/12/2019 5:00,0,38.3,32.39
1/12/2019 6:00,0,36.5,22.41
1/12/2019 7:00,0.0279,36.57,27.84
1/12/2019 8:00,0.1674,56.1,32.17
1/12/2019 9:00,0.3162,47.97,42.41
1/12/2019 10:00,0.4278,39.38,34.3
1/12/2019 11:00,0.5115,34.84,32.83
1/12/2019 12:00,0.5487,35.12,37.02
1/12/2019 13:00,0.5394,33.22,41.85
1/12/2019 14:00,0.4557,31.65,32.38
1/12/2019 15:00,0.3069,31.69,33.04
1/12/2019 16:00,0.1209,33.28,34.98
1/12/2019 17:00,0,36,35.01
1/12/2019 18:00,0,44.25,17.9
1/12/2019 19:00,0,50.29,18.03
1/12/2019 20:00,0,46.22,32.25
1/12/2019 21:00,0,42.72,33.62
1/12/2019 22:00,0,38.64,32.88
1/12/2019 23:00,0,36.88,22.34
1/13/2019 0:00,0,35.39,32.17
1/13/2019 1:00,0,35.39,32.62
1/13/2019 2:00,0,35.11,32.2
1/13/2019 3:00,0,35.29,32.52
1/13/2019 4:00,0,40.78,35.17
1/13/2019 5:00,0,53.09,32.14
1/13/2019 6:00,0,48.07,33.29
1/13/2019 7:00,0.0279,43.51,36.7
1/13/2019 8:00,0.1674,40.44,38.11
1/13/2019 9:00,0.2976,37.94,32.83
1/13/2019 10:00,0.4278,34.49,40.69
1/13/2019 11:00,0.5115,31.97,38.45
1/13/2019 12:00,0.5487,38.41,36.25
1/13/2019 13:00,0.5301,38.03,38.71
1/13/2019 14:00,0.4371,35.38,34.19
1/13/2019 15:00,0.2976,36.97,32.77
1/13/2019 16:00,0.1209,37.53,27.62
1/13/2019 17:00,0,38.2,27.02
1/13/2019 18:00,0,52.01,36.85
1/13/2019 19:00,0,56.01,34.99
1/13/2019 20:00,0,53.51,32.65
1/13/2019 21:00,0,49.82,35.83
1/13/2019 22:00,0,42.36,73.83
1/13/2019 23:00,0,41.3,47.89
1/14/2019 0:00,0,39.31,35.81
1/14/2019 1:00,0,38.76,41.15
1/14/2019 2:00,0,38.91,42.81
1/14/2019 3:00,0,38.25,39
1/14/2019 4:00,0,46.14,76.69
1/14/2019 5:00,0,51.55,33.72
1/14/2019 6:00,0,51.74,34.22
1/14/2019 7:00,0.0465,48.82,68.47
1/14/2019 8:00,0.279,43.6,49.77
1/14/2019 9:00,0.4836,42.08,47.45
1/14/2019 10:00,0.6324,37.11,49.77
1/14/2019 11:00,0.7068,36.93,52.98
1/14/2019 12:00,0.7161,36.22,39.21
1/14/2019 13:00,0.6603,35.88,39.68
1/14/2019 14:00,0.5394,35.88,33.52
1/14/2019 15:00,0.372,33.41,67
1/14/2019 16:00,0.1488,33.41,43.12
1/14/2019 17:00,0,33.41,35.86
1/14/2019 18:00,0,34.11,54.11
1/14/2019 19:00,0,39.47,81.66
1/14/2019 20:00,0,39.47,55.42
1/14/2019 21:00,0,52.48,58.23
1/14/2019 22:00,0,57.6,52.09
1/14/2019 23:00,0,57.6,71.53
1/15/2019 0:00,0,54.74,50.18
1/15/2019 1:00,0,50.96,40.77
1/15/2019 2:00,0,50.96,52.84
1/15/2019 3:00,0,45.92,41.27
1/15/2019 4:00,0,43.14,40.33
1/15/2019 5:00,0,43.14,39.74
1/15/2019 6:00,0,41.76,41.07
1/15/2019 7:00,0.0372,41.07,38.03
1/15/2019 8:00,0.2046,41.07,36.12
1/15/2019 9:00,0.3534,40.8,36.2
1/15/2019 10:00,0.4743,40.91,40.73
1/15/2019 11:00,0.5115,40.91,39.73
1/15/2019 12:00,0.5115,47.9,41.03
1/15/2019 13:00,0.4836,56.36,40.04
1/15/2019 14:00,0.3906,56.36,42.28
1/15/2019 15:00,0.2604,54.47,42.62
1/15/2019 16:00,0.1023,51.14,42.25
1/15/2019 17:00,0,51.14,39.77
1/15/2019 18:00,0,46.72,42.19
1/15/2019 19:00,0,42.88,43.05
1/15/2019 20:00,0,42.88,36.99
1/15/2019 21:00,0,39.79,45.94
1/15/2019 22:00,0,38.58,44.03
1/15/2019 23:00,0,38.58,44.84
1/16/2019 0:00,0,44.39,51.13
1/16/2019 1:00,0,42.71,58.08
1/16/2019 2:00,0,40.61,49.09
1/16/2019 3:00,0,39.32,50.59
1/16/2019 4:00,0,40.66,54.11
1/16/2019 5:00,0,37.78,48.99
1/16/2019 6:00,0,50.84,47.67
1/16/2019 7:00,0.0186,57.43,46.14
1/16/2019 8:00,0.1302,60.04,47.15
1/16/2019 9:00,0.2883,62.04,42.5
1/16/2019 10:00,0.4557,59.43,42.54
1/16/2019 11:00,0.5394,54.51,43.16
1/16/2019 12:00,0.5487,51.29,45.91
1/16/2019 13:00,0.4929,51.01,51.26
1/16/2019 14:00,0.3999,50.64,43.94
1/16/2019 15:00,0.2604,49.42,35.26
1/16/2019 16:00,0.1023,49.43,36.35
1/16/2019 17:00,0,57.01,38.86
1/16/2019 18:00,0,53.61,34.35
1/16/2019 19:00,0,51.21,34.41
1/16/2019 20:00,0,47.99,30.4
1/16/2019 21:00,0,44.04,39.29
1/16/2019 22:00,0,44.89,42.55
1/16/2019 23:00,0,42.87,42.64
1/17/2019 0:00,0,48.29,44.1
1/17/2019 1:00,0,49.95,44.5
1/17/2019 2:00,0,46.53,43.47
1/17/2019 3:00,0,46.29,45.77
1/17/2019 4:00,0,45.62,37.82
1/17/2019 5:00,0,47.34,44.07
1/17/2019 6:00,0,41.58,48.9
1/17/2019 7:00,0.0372,41.29,47.17
1/17/2019 8:00,0.2046,55.31,47.06
1/17/2019 9:00,0.372,61.72,47.3
1/17/2019 10:00,0.465,72.63,48.32
1/17/2019 11:00,0.4836,66.76,51.48
1/17/2019 12:00,0.4092,65.09,50.33
1/17/2019 13:00,0.3069,63.58,51.93
1/17/2019 14:00,0.2046,63.56,48.31
1/17/2019 15:00,0.1209,63.72,44.8
1/17/2019 16:00,0.0372,74.53,77.34
1/17/2019 17:00,0,81.2,57.42
1/17/2019 18:00,0,74.87,46.67
1/17/2019 19:00,0,77.95,54.1
1/17/2019 20:00,0,69.52,43.5
1/17/2019 21:00,0,65.89,37.36
1/17/2019 22:00,0,62.03,55.11
1/17/2019 23:00,0,57.78,64.96
1/18/2019 0:00,0,71.79,55.12
1/18/2019 1:00,0,49.48,51.06
1/18/2019 2:00,0,49.19,51.81
1/18/2019 3:00,0,69.06,50.1
1/18/2019 4:00,0,58.96,48
1/18/2019 5:00,0,45.47,46.15
1/18/2019 6:00,0,50,45.35
1/18/2019 7:00,0.0093,73.07,43.68
1/18/2019 8:00,0.0465,65.89,47.31
1/18/2019 9:00,0.0837,83.69,41.84
1/18/2019 10:00,0.1116,93.4,43.92
1/18/2019 11:00,0.1209,92.81,42.22
1/18/2019 12:00,0.1209,89.12,41.87
1/18/2019 13:00,0.1209,88.87,50.14
1/18/2019 14:00,0.1116,89.7,56.96
1/18/2019 15:00,0.1209,91.71,64.82
1/18/2019 16:00,0.0651,113.01,42.07
1/18/2019 17:00,0,136.01,40.81
1/18/2019 18:00,0,132.36,41.17
1/18/2019 19:00,0,121.8,37.75
1/18/2019 20:00,0,112.69,38.68
1/18/2019 21:00,0,107.85,39.89
1/18/2019 22:00,0,107.06,28.52
1/18/2019 23:00,0,99.71,26.78
1/19/2019 0:00,0,103.03,31.32
1/19/2019 1:00,0,95.73,31.18
1/19/2019 2:00,0,89.91,50.35
1/19/2019 3:00,0,91.8,735.13
1/19/2019 4:00,0,96.44,78.61
1/19/2019 5:00,0,103.91,83.08
1/19/2019 6:00,0,113.72,73.09
1/19/2019 7:00,0.0186,116.85,49.18
1/19/2019 8:00,0.0837,139.98,126.62
1/19/2019 9:00,0.1209,130.02,94.68
1/19/2019 10:00,0.1302,122.34,65.82
1/19/2019 11:00,0.1302,120.57,59.66
1/19/2019 12:00,0.1209,117.38,58.07
1/19/2019 13:00,0.1116,117.15,51.62
1/19/2019 14:00,0.1302,112.87,36.62
1/19/2019 15:00,0.1209,118.28,87.94
1/19/2019 16:00,0.0558,126.94,14.76
1/19/2019 17:00,0,151.56,74.96
1/19/2019 18:00,0,148.67,74.95
1/19/2019 19:00,0,142.19,39.47
1/19/2019 20:00,0,125.93,43.6
1/19/2019 21:00,0,118.18,47.09
1/19/2019 22:00,0,113.87,41.92
1/19/2019 23:00,0,107.38,2.13
1/20/2019 0:00,0,101.24,24.19
1/20/2019 1:00,0,95.6,36.53
1/20/2019 2:00,0,89.11,40.63
1/20/2019 3:00,0,92.25,62.73
1/20/2019 4:00,0,97.28,80.81
1/20/2019 5:00,0,106.04,74.06
1/20/2019 6:00,0,128.93,100.09
1/20/2019 7:00,0.0186,144.91,28.67
1/20/2019 8:00,0.1023,133.02,36.66
1/20/2019 9:00,0.1767,117.34,32.39
1/20/2019 10:00,0.1953,113.35,66.2
1/20/2019 11:00,0.1953,113.15,90.59
1/20/2019 12:00,0.186,110.62,100.71
1/20/2019 13:00,0.1488,110.04,103.11
1/20/2019 14:00,0.1023,106.23,42.47
1/20/2019 15:00,0.0651,105.82,79.64
1/20/2019 16:00,0.0372,111.54,84.07
1/20/2019 17:00,0,128.62,32.59
1/20/2019 18:00,0,127.8,92.83
1/20/2019 19:00,0,115.19,80.81
1/20/2019 20:00,0,111.63,85.65
1/20/2019 21:00,0,105.29,95.19
1/20/2019 22:00,0,104.51,51.63
1/20/2019 23:00,0,76.5,82.44
1/21/2019 0:00,0,69.97,92.09
1/21/2019 1:00,0,67.18,113.31
1/21/2019 2:00,0,64.55,218.4
1/21/2019 3:00,0,64.69,143.27
1/21/2019 4:00,0,65.66,131.11
1/21/2019 5:00,0,65.76,149.05
1/21/2019 6:00,0,77.75,112.81
1/21/2019 7:00,0.0093,88.7,114.96
1/21/2019 8:00,0.0279,86.33,117.95
1/21/2019 9:00,0.0372,83.07,148.68
1/21/2019 10:00,0.0372,67.6,130.12
1/21/2019 11:00,0.0465,63.93,148.91
1/21/2019 12:00,0.0558,59.3,116.83
1/21/2019 13:00,0.0651,53.24,117.37
1/21/2019 14:00,0.0837,51.5,-10.88
1/21/2019 15:00,0.093,52.51,95.19
1/21/2019 16:00,0.0558,60.68,111.1
1/21/2019 17:00,0,67.87,126.41
1/21/2019 18:00,0,64.79,116.77
1/21/2019 19:00,0,60.95,144.85
1/21/2019 20:00,0,53.82,116.23
1/21/2019 21:00,0,49.91,545.74
1/21/2019 22:00,0,44.38,119.85
1/21/2019 23:00,0,41.93,234.47
1/22/2019 0:00,0,30.46,126.17
1/22/2019 1:00,0,28.27,257.34
1/22/2019 2:00,0,28.22,129.13
1/22/2019 3:00,0,35.28,106.24
1/22/2019 4:00,0,35.3,110.94
1/22/2019 5:00,0,36.67,102.56
1/22/2019 6:00,0,34.33,106.27
1/22/2019 7:00,0.0186,34.28,67.99
1/22/2019 8:00,0.1302,43.51,80.46
1/22/2019 9:00,0.279,41.3,78.03
1/22/2019 10:00,0.3441,34.36,74.41
1/22/2019 11:00,0.3348,29.63,97.59
1/22/2019 12:00,0.3162,30.8,74.26
1/22/2019 13:00,0.279,29.47,141.27
1/22/2019 14:00,0.2139,29.07,50.34
1/22/2019 15:00,0.1674,29.03,84.16
1/22/2019 16:00,0.0744,29.23,105.88
1/22/2019 17:00,0,30.63,100.25
1/22/2019 18:00,0,34.81,112.35
1/22/2019 19:00,0,39.11,110.79
1/22/2019 20:00,0,36.22,14.82
1/22/2019 21:00,0,37.58,34.65
1/22/2019 22:00,0,42.65,54.41
1/22/2019 23:00,0,41.49,53.88
1/23/2019 0:00,0,40.08,79.01
1/23/2019 1:00,0,40.42,41.96
1/23/2019 2:00,0,40.12,38.46
1/23/2019 3:00,0,40.1,37.43
1/23/2019 4:00,0,43.67,33.6
